,brand,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats
89,Maruti,2017,280000,32000,Petrol,Dealer,Manual,1,14.0,796.0,35.0,5.0
91,Volkswagen,2015,455000,42000,Petrol,Dealer,Manual,1,16.47,1198.0,74.0,5.0
92,Hyundai,2015,351000,45000,Petrol,Dealer,Manual,2,19.81,1086.0,68.05,5.0
93,Volkswagen,2012,535000,12000,Petrol,Dealer,Manual,2,15.04,1598.0,103.6,5.0
94,Maruti,2009,175000,55500,Petrol,Dealer,Manual,1,18.2,998.0,67.1,5.0
95,Hyundai,2013,525000,61500,Petrol,Dealer,Manual,1,18.5,1197.0,82.85,5.0
96,Maruti,2016,600000,150000,Diesel,Individual,Manual,1,26.59,1248.0,74.0,5.0
97,Hyundai,2016,565000,72000,Petrol,Dealer,Automatic,1,19.1,1197.0,82.0,5.0
98,Maruti,2008,120000,68000,Petrol,Dealer,Manual,3,19.7,796.0,46.3,5.0
99,Hyundai,2017,725000,110000,Diesel,Individual,Manual,1,22.54,1396.0,88.73,5.0
100,Maruti,2009,185000,77000,Petrol,Dealer,Manual,2,21.79,998.0,67.05,5.0
101,Tata,2010,200000,100000,Diesel,Individual,Manual,2,18.8,1248.0,90.0,5.0
102,Maruti,2019,615000,10000,Petrol,Individual,Manual,1,21.21,1197.0,81.8,5.0
103,Maruti,2016,270000,100000,Petrol,Individual,Manual,3,15.37,1196.0,73.0,7.0
104,Maruti,2018,610000,35000,Petrol,Individual,Manual,1,21.4,1197.0,83.1,5.0
105,Mahindra,2014,625000,70000,Diesel,Individual,Automatic,2,11.79,2179.0,120.0,8.0
106,Ford,2020,400000,5000,Petrol,Individual,Manual,2,19.0,1194.0,94.68,5.0
107,Hyundai,2017,866000,37800,Petrol,Individual,Manual,1,17.0,1591.0,121.3,5.0
108,Volkswagen,2010,700000,114000,Petrol,Individual,Manual,1,14.3,1798.0,160.0,5.0
109,Tata,2010,300000,48000,Petrol,Individual,Manual,1,15.8,1172.0,65.0,5.0
110,Mahindra,2019,1700000,32000,Diesel,Individual,Manual,1,15.1,2179.0,155.0,7.0
111,Tata,2016,375000,100000,Diesel,Individual,Manual,1,19.09,1405.0,69.01,5.0
112,Hyundai,2013,522000,150000,Diesel,Individual,Manual,2,22.32,1582.0,126.32,5.0
113,Hyundai,2013,451999,69000,Diesel,Individual,Manual,1,21.9,1396.0,88.76,5.0
114,Toyota,2009,300000,100000,Petrol,Individual,Manual,2,14.53,1798.0,138.1,5.0
115,Maruti,2020,475000,13000,Petrol,Individual,Manual,1,21.63,998.0,67.04,5.0
116,Maruti,2016,780000,60000,Diesel,Individual,Manual,1,24.3,1248.0,88.5,5.0
117,Maruti,2017,595000,40000,Petrol,Individual,Manual,1,20.85,1197.0,83.14,5.0
118,Maruti,2017,440000,35000,Petrol,Individual,Manual,1,20.51,998.0,67.04,5.0
119,Maruti,2010,300000,120000,Diesel,Individual,Manual,2,,,,
120,Nissan,2014,400000,70000,Diesel,Individual,Manual,3,20.45,1461.0,83.8,5.0
121,Hyundai,2016,1140000,50000,Diesel,Individual,Manual,1,19.67,1582.0,126.2,5.0
122,Ford,2017,850000,76139,Diesel,Individual,Manual,1,23.0,1498.0,98.96,5.0
123,Maruti,2012,370000,175000,Diesel,Individual,Manual,4,19.3,1248.0,73.9,5.0
124,Renault,2018,350000,25000,Petrol,Individual,Manual,1,23.01,999.0,67.0,5.0
125,Maruti,2015,360000,40000,Petrol,Individual,Manual,2,23.1,998.0,67.04,5.0
126,Maruti,2008,105000,65000,Petrol,Individual,Manual,4,19.7,796.0,46.3,5.0
127,Maruti,2013,625000,90000,Diesel,Individual,Manual,2,20.77,1248.0,88.76,7.0
128,Hyundai,2009,135000,80000,Petrol,Individual,Manual,2,17.92,1086.0,62.1,5.0
129,Maruti,2015,700000,110000,Diesel,Individual,Manual,2,20.77,1248.0,88.76,7.0
130,Honda,2019,690000,1303,Petrol,Dealer,Manual,1,17.8,1198.0,86.7,5.0
131,Audi,2018,3975000,31800,Diesel,Dealer,Automatic,1,17.01,1968.0,188.0,5.0
132,Lexus,2019,5150000,20000,Petrol,Dealer,Automatic,1,22.37,2487.0,214.56,5.0
133,Jaguar,2017,3200000,45000,Diesel,Dealer,Automatic,1,19.33,1999.0,177.0,5.0
134,Jeep,2017,4100000,17000,Petrol,Individual,Automatic,1,9.5,3604.0,280.0,5.0
135,Land,2019,4500000,21000,Diesel,Dealer,Automatic,1,12.83,1999.0,148.31,7.0
136,Mercedes-Benz,2017,6000000,37000,Diesel,Dealer,Automatic,1,13.5,2987.0,254.79,5.0
137,BMW,2018,3790000,29500,Diesel,Dealer,Automatic,1,22.48,1995.0,187.74,5.0
138,BMW,2017,2150000,27000,Diesel,Dealer,Automatic,1,,,,
139,BMW,2019,5800000,7500,Diesel,Dealer,Automatic,1,16.78,1995.0,190.0,5.0
140,Skoda,2018,1864999,50000,Petrol,Dealer,Automatic,1,14.67,1798.0,177.46,5.0
141,Mercedes-Benz,2016,2700000,35000,Diesel,Dealer,Automatic,1,15.0,2143.0,204.0,5.0
142,MG,2019,1750000,19000,Petrol,Dealer,Automatic,1,13.96,1451.0,141.0,5.0
143,Honda,2017,795000,41000,Petrol,Dealer,Automatic,1,18.0,1497.0,117.6,5.0
144,Toyota,2013,625000,39000,Petrol,Dealer,Automatic,1,14.28,1798.0,138.03,5.0
145,Volvo,2018,3400000,22000,Diesel,Dealer,Automatic,1,18.0,1969.0,190.0,5.0
146,Audi,2015,2650000,53000,Diesel,Dealer,Automatic,1,12.07,2967.0,241.4,7.0
147,Maruti,2015,535000,40000,Diesel,Dealer,Manual,1,26.21,1248.0,88.5,5.0
148,Mercedes-Benz,2017,5850000,47000,Diesel,Dealer,Automatic,1,13.5,2987.0,282.0,5.0
149,BMW,2010,975000,72200,Petrol,Dealer,Automatic,2,10.8,2497.0,150.0,5.0
150,Hyundai,2016,805000,49900,Petrol,Dealer,Manual,1,16.3,1797.0,147.5,5.0
151,Jaguar,2017,2625000,9000,Diesel,Dealer,Automatic,1,13.6,1999.0,177.0,5.0
152,Tata,2018,811000,11000,Petrol,Dealer,Manual,1,17.0,1198.0,108.5,5.0
153,Volkswagen,2011,375000,49000,Petrol,Individual,Manual,1,15.04,1598.0,103.6,5.0
154,Hyundai,2012,550000,95000,Petrol,Individual,Manual,1,16.3,1797.0,147.5,5.0
155,Skoda,2016,645000,11000,Petrol,Dealer,Automatic,1,14.3,1598.0,103.5,5.0
156,Mercedes-Benz,2018,2550000,18000,Petrol,Dealer,Automatic,1,15.04,1991.0,183.0,5.0
157,Maruti,2014,599000,46100,Petrol,Dealer,Manual,1,16.02,1373.0,93.7,7.0
158,Mercedes-Benz,2017,2700000,16000,Petrol,Dealer,Automatic,1,14.74,1991.0,181.04,5.0
159,Honda,2017,875000,18000,Petrol,Dealer,Automatic,1,15.6,1497.0,116.3,5.0
160,Toyota,2019,894999,9654,Petrol,Dealer,Automatic,1,19.56,1197.0,81.8,5.0
161,Maruti,2011,175000,11000,Petrol,Dealer,Manual,1,23.95,998.0,67.05,5.0
162,Maruti,2012,340000,24300,Petrol,Dealer,Manual,1,21.21,1197.0,81.8,5.0
163,Toyota,2016,1525000,42163,Diesel,Dealer,Automatic,2,11.36,2755.0,171.5,7.0
164,Tata,2018,1025000,8000,Diesel,Dealer,Automatic,1,21.5,1497.0,108.5,5.0
165,BMW,2016,2150000,30000,Diesel,Dealer,Automatic,1,22.69,1995.0,190.0,5.0
166,Toyota,2016,1900000,41000,Petrol,Dealer,Automatic,1,19.16,2494.0,157.7,5.0
167,BMW,2016,2900000,12000,Diesel,Dealer,Automatic,1,18.12,1995.0,190.0,5.0
168,Toyota,2009,450000,71000,Petrol,Dealer,Automatic,1,12.1,2362.0,164.7,5.0
169,Maruti,2016,850000,20000,Petrol,Individual,Manual,1,17.5,1373.0,91.1,7.0
170,Volvo,2017,10000000,30000,Petrol,Individual,Automatic,1,42.0,1969.0,400.0,4.0
171,Volkswagen,2011,300000,100000,Diesel,Individual,Manual,2,20.54,1598.0,103.6,5.0
172,Ford,2018,575000,9500,Petrol,Individual,Manual,1,18.16,1196.0,86.8,5.0
173,Ford,2011,160000,120000,Diesel,Individual,Manual,1,20.0,1399.0,68.0,5.0
174,Maruti,2015,515000,36600,Petrol,Individual,Manual,1,20.4,1197.0,81.8,5.0
175,Maruti,2015,390000,50000,Petrol,Individual,Automatic,2,20.51,998.0,67.0,5.0
176,Hyundai,2016,550000,14000,Petrol,Individual,Manual,2,18.6,1197.0,81.83,5.0
177,Maruti,1999,40000,40000,Petrol,Individual,Manual,2,16.1,796.0,37.0,4.0
178,Maruti,2010,220000,120000,Diesel,Individual,Manual,1,21.1,1248.0,73.9,5.0
179,Hyundai,2015,425000,70000,Petrol,Individual,Manual,1,18.9,1197.0,82.0,5.0
180,Volkswagen,2019,480000,13000,Petrol,Individual,Manual,1,19.44,999.0,75.0,5.0
181,Hyundai,2014,400000,60000,Petrol,Individual,Manual,2,18.9,1197.0,82.0,5.0
182,Maruti,2014,487000,35000,Petrol,Individual,Manual,1,19.1,1197.0,85.8,5.0
183,Hyundai,2016,386000,44000,Petrol,Individual,Manual,2,19.1,1197.0,82.0,5.0
184,Honda,2005,100000,120000,Petrol,Individual,Manual,2,13.0,1493.0,100.0,5.0
185,Toyota,2010,300000,60000,Diesel,Individual,Manual,1,21.43,1364.0,87.2,5.0
186,Daewoo,2000,100000,60000,Petrol,Individual,Manual,1,18.5,796.0,53.0,5.0
187,Toyota,2014,1750000,30000,Diesel,Individual,Manual,2,13.0,2982.0,168.5,7.0
188,Mahindra,2016,450000,15000,Petrol,Individual,Manual,2,18.15,1198.0,82.0,6.0
189,Tata,2017,490000,90000,Diesel,Individual,Manual,1,22.95,1248.0,74.0,5.0
190,Honda,2009,345000,47000,Petrol,Individual,Manual,2,17.0,1497.0,118.0,5.0
191,Maruti,2005,85000,90000,Petrol,Individual,Manual,1,17.3,993.0,60.0,5.0
192,Maruti,2010,215000,120600,Petrol,Individual,Manual,2,18.9,998.0,67.1,5.0
193,Hyundai,2010,320000,100000,Petrol,Individual,Manual,3,16.2,1599.0,103.2,5.0
194,Maruti,2016,459999,60000,Petrol,Individual,Manual,2,20.85,1197.0,83.14,5.0
195,Hyundai,2005,65000,86000,Petrol,Individual,Manual,1,15.3,1341.0,83.0,5.0
196,Hyundai,2020,720000,5000,Petrol,Individual,Manual,1,18.6,1197.0,81.86,5.0
197,Maruti,2017,800000,37000,Diesel,Individual,Manual,1,28.09,1248.0,88.5,5.0
198,Tata,2019,520000,14000,Petrol,Individual,Manual,1,20.3,1199.0,84.0,5.0
199,Maruti,2015,580000,70000,Diesel,Individual,Manual,1,20.77,1248.0,88.76,7.0
200,Toyota,2012,235000,120000,Diesel,Individual,Manual,1,,,,
201,Honda,2015,600000,50000,Petrol,Individual,Manual,1,17.4,1497.0,117.3,5.0
202,Honda,2014,290000,60000,Petrol,Individual,Manual,2,19.4,1198.0,86.8,5.0
204,Maruti,2017,550000,50000,Petrol,Individual,Manual,1,20.85,1197.0,83.14,5.0
205,Hyundai,2013,375000,70000,Petrol,Individual,Manual,1,18.5,1197.0,82.85,5.0
206,Maruti,2003,40000,90000,Petrol,Individual,Manual,2,,,,
207,Maruti,2018,420000,35000,Petrol,Individual,Automatic,1,20.51,998.0,67.0,5.0
208,Maruti,2017,550000,20000,Petrol,Individual,Manual,1,21.21,1197.0,81.8,5.0
209,Maruti,2018,270000,20000,Petrol,Individual,Manual,1,24.7,796.0,47.3,5.0
210,Maruti,2018,700000,7800,Petrol,Individual,Automatic,1,22.0,1197.0,81.8,5.0
211,Maruti,2017,500000,20000,Petrol,Individual,Manual,1,20.4,1197.0,81.8,5.0
212,Tata,2019,1250000,15000,Diesel,Individual,Manual,1,17.6,2179.0,147.94,7.0
213,Hyundai,2013,320000,31377,Petrol,Individual,Manual,2,18.5,1197.0,82.85,5.0
214,Maruti,2018,700000,50000,Diesel,Individual,Manual,1,28.4,1248.0,74.02,5.0
215,Maruti,2015,290000,60000,Petrol,Individual,Manual,1,20.51,998.0,67.04,5.0
216,Toyota,2012,550000,100000,Petrol,Individual,Automatic,1,14.53,1794.0,138.1,5.0
217,Honda,2012,265000,60000,Petrol,Individual,Manual,1,19.4,1198.0,86.8,5.0
218,Maruti,2018,830000,5000,Petrol,Individual,Automatic,1,21.4,1197.0,83.1,5.0
219,Tata,2017,800000,60000,Diesel,Individual,Manual,1,14.1,2179.0,147.94,7.0
220,Maruti,2011,160000,25000,Petrol,Individual,Manual,2,19.7,796.0,46.3,5.0
221,Renault,2018,335000,30000,Petrol,Individual,Manual,1,25.17,799.0,53.3,5.0
222,Datsun,2017,329000,80000,Petrol,Individual,Manual,2,20.63,1198.0,67.0,5.0
223,Maruti,2017,775000,75000,Diesel,Individual,Manual,1,24.3,1248.0,88.5,5.0
224,Hyundai,2020,524000,32000,Petrol,Individual,Manual,1,20.14,1197.0,81.86,5.0
225,Maruti,2015,245000,40000,Petrol,Individual,Manual,1,22.74,796.0,47.3,5.0
226,Hyundai,2012,275000,93000,Petrol,Individual,Manual,2,17.0,1197.0,80.0,5.0
227,Tata,2018,520000,60000,Petrol,Individual,Manual,1,17.57,1193.0,88.7,5.0
228,Maruti,2008,130000,120000,Petrol,Individual,Manual,2,,,,
229,Nissan,2014,550000,37000,Petrol,Individual,Manual,1,16.95,1498.0,97.7,5.0
230,Ford,2018,910000,15000,Petrol,Individual,Manual,1,17.0,1497.0,121.36,5.0
231,Nissan,2015,300000,80000,Petrol,Individual,Manual,1,19.49,1198.0,67.04,5.0
232,Maruti,2016,350000,140000,Petrol,Individual,Manual,1,20.51,998.0,67.04,5.0
233,Mahindra,2013,900000,70000,Diesel,Individual,Manual,1,12.83,2696.0,162.0,7.0
234,Mahindra,2013,300000,120000,Diesel,Individual,Manual,2,17.21,1493.0,100.0,7.0
235,Maruti,2010,250000,110000,Diesel,Individual,Manual,2,21.1,1248.0,73.9,5.0
236,Hyundai,2017,1100000,37000,Diesel,Individual,Manual,1,19.67,1582.0,126.2,5.0
237,Renault,2016,270000,44000,Petrol,Individual,Manual,1,25.17,799.0,53.3,5.0
238,Maruti,2015,640000,80000,Diesel,Individual,Manual,1,20.77,1248.0,88.76,7.0
239,Mahindra,2015,650000,125000,Diesel,Individual,Manual,1,15.1,2179.0,140.0,7.0
240,Maruti,2017,409999,13500,Petrol,Individual,Manual,1,15.37,1196.0,73.0,5.0
241,Hyundai,2011,165000,75000,Petrol,Individual,Manual,1,17.92,1086.0,62.1,5.0
242,Hyundai,2007,80000,120000,Petrol,Individual,Manual,2,13.2,1495.0,94.0,5.0
243,Mahindra,2012,535000,120000,Diesel,Individual,Manual,1,15.1,2179.0,140.0,7.0
244,Toyota,2013,700000,70000,Diesel,Individual,Manual,1,12.99,2494.0,100.57,7.0
245,Maruti,2013,550000,70000,Diesel,Individual,Manual,1,23.4,1248.0,74.0,5.0
246,Honda,2019,680000,15000,Petrol,Individual,Automatic,1,19.0,1199.0,88.76,5.0
247,Hyundai,2009,200000,53000,Petrol,Individual,Manual,2,20.36,1197.0,78.9,5.0
248,Maruti,2014,500000,120000,Diesel,Individual,Manual,2,23.4,1248.0,74.0,5.0
249,Maruti,2016,1000000,70000,Diesel,Individual,Manual,1,24.52,1248.0,88.5,7.0
250,Hyundai,2008,110000,120000,Petrol,Individual,Manual,2,14.2,1341.0,82.9,5.0
251,Hyundai,2012,320000,100000,Petrol,Individual,Manual,2,18.5,1197.0,80.0,5.0
252,Tata,2005,75000,110000,Diesel,Individual,Manual,2,,,,
253,Maruti,2015,350000,100000,Petrol,Individual,Manual,1,20.4,1197.0,83.11,5.0
254,Tata,2013,170000,162500,Diesel,Individual,Manual,1,19.4,1405.0,70.0,5.0
255,Hyundai,2017,800000,39000,Diesel,Individual,Manual,1,22.54,1396.0,88.73,5.0
256,Maruti,2017,500000,75000,Diesel,Individual,Manual,1,26.8,1248.0,74.0,5.0
257,Tata,2017,1380000,50000,Diesel,Individual,Automatic,1,17.6,2179.0,153.86,7.0
258,Mahindra,2019,1300000,40000,Diesel,Individual,Manual,1,17.3,1497.0,121.0,8.0
259,Hyundai,2013,530000,92500,Diesel,Individual,Manual,1,22.32,1582.0,126.3,5.0
260,Maruti,2012,360000,158000,Diesel,Individual,Manual,1,23.4,1248.0,74.0,5.0
261,Maruti,2012,310000,120000,Diesel,Individual,Manual,1,19.3,1248.0,73.9,5.0
262,Honda,2015,725000,50000,Diesel,Individual,Manual,2,26.0,1498.0,98.6,5.0
263,Maruti,2012,340000,110000,Diesel,Individual,Manual,1,19.3,1248.0,73.9,5.0
264,Hyundai,2017,550000,2000,Diesel,Individual,Manual,2,25.4,1186.0,73.97,5.0
265,Toyota,2011,1150000,181000,Diesel,Individual,Manual,2,11.5,2982.0,171.0,7.0
266,Tata,2016,380000,70000,Diesel,Individual,Manual,1,27.28,1047.0,69.0,5.0
267,Nissan,2013,350000,90000,Petrol,Individual,Automatic,2,17.97,1498.0,99.6,5.0
268,Hyundai,2019,610000,2000,Petrol,Individual,Manual,1,18.6,1197.0,81.86,5.0
269,Maruti,2015,525000,20000,Petrol,Individual,Manual,1,20.85,1197.0,83.14,5.0
270,Toyota,2011,480000,120000,Diesel,Individual,Manual,1,12.8,2494.0,102.0,7.0
271,Mahindra,2017,780000,35000,Diesel,Individual,Manual,1,16.55,2498.0,105.0,6.0
272,Maruti,2012,320000,193000,Diesel,Individual,Manual,1,19.3,1248.0,73.9,5.0
273,Maruti,2014,375000,80000,Petrol,Individual,Manual,1,20.4,1197.0,81.8,5.0
274,Datsun,2019,300000,40000,Petrol,Individual,Manual,1,19.02,1198.0,67.05,5.0
275,Hyundai,2015,500000,70000,Diesel,Individual,Manual,4,22.54,1396.0,88.73,5.0
276,Mahindra,2011,404000,122358,Diesel,Individual,Manual,1,12.05,2179.0,120.0,9.0
277,Tata,2015,500000,75000,Diesel,Individual,Manual,1,14.07,2956.0,69.01,7.0
278,Tata,2017,350000,120000,Diesel,Individual,Manual,1,27.28,1047.0,69.0,5.0
279,Tata,2015,380000,40000,Petrol,Individual,Manual,1,17.57,1193.0,88.7,5.0
280,Hyundai,2008,114999,95200,Petrol,Individual,Manual,3,13.2,1495.0,94.0,5.0
281,Honda,2014,335000,33033,Petrol,Dealer,Manual,1,19.4,1198.0,86.8,5.0
282,Hyundai,2015,465000,63063,Petrol,Dealer,Automatic,1,18.9,1197.0,82.0,5.0
283,Tata,2012,290000,60000,Diesel,Individual,Manual,1,21.02,1248.0,88.76,5.0
284,Maruti,2005,110000,45000,Petrol,Individual,Manual,2,19.7,796.0,46.3,5.0
285,Tata,2011,450000,80000,Diesel,Individual,Manual,3,11.57,2179.0,138.1,7.0
286,Mahindra,2009,400000,170000,Diesel,Individual,Manual,2,13.6,2523.0,63.0,7.0
287,Mahindra,2007,210000,207890,Diesel,Individual,Manual,2,13.6,2523.0,63.0,7.0
288,Mercedes-Benz,2018,4600000,7976,Diesel,Individual,Automatic,1,17.9,2143.0,170.0,5.0
289,Maruti,2016,220000,35000,Petrol,Individual,Manual,1,16.8,796.0,34.2,8.0
290,Hyundai,2017,450000,35000,Petrol,Individual,Manual,1,18.9,1197.0,82.0,5.0
291,Hyundai,2017,450000,35000,Petrol,Individual,Manual,1,18.9,1197.0,82.0,5.0
